col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Horizon College and Seminary,ASSOC,C,M,SK,PENTAC,"2,148",0.0,1,7,60,25,"6,468"
Howard University School of Divinity,ACCRED,U,B,DC,NONDEN,"2,233",0.0,12,15,94,83,"20,222"
Huron University College Faculty of Theology,ACCRED,U,N,ON,ANGL,"1,956",0.0,1,6,46,30,"8,515"
Iliff School of Theology,ACCRED,I,W,CO,UMC,"8,128",39.3,17,18,171,132,"20,169"
Immaculate Conception Seminary of Seton Hall University,ACCRED,U,V,NJ,RC,"10,455",20.3,14,19,226,156,"24,665"
"Inter American University of Puerto Rico-Metropolitan Campus Department of
Theology and History",ASSOC,I,H,PR,INTER,"45,103",0.0,2,3,33,22,0
Inter-American Adventist Theological Seminary,ACCRED,I,M,PR,SDADV,803,0.0,0,13,554,590,0
Interdenominational Theological Center,ACCRED,I,B,GA,INTER,"8,341",6.5,7,10,61,56,"16,272"
International Reformed University and Seminary,ASSOC,U,A,CA,GENASWPC,633,0.0,0,4,57,56,"4,220"
International Theological Seminary,ACCRED,I,V,CA,NONDEN,"1,598",1.2,1,5,116,74,"10,550"
James and Carolyn McAfee School of Theology of Mercer University,ACCRED,U,B,GA,CBF,"2,540",24.8,9,11,138,83,"13,950"
Jesuit School of Theology of Santa Clara University,ACCRED,U,W,CA,RC,"7,253",53.5,0,2,108,100,"24,138"
John Leland Center for Theological Studies,ACCRED,I,B,VA,BGAV,"1,174",5.8,2,8,23,7,"13,750"
Kairos University,ACCRED,I,W,SD,NABAPC,"8,086",10.2,13,18,"1,069",652,"3,600"
Kearley Graduate School of Theology of Faulkner University,ACCRED,U,W,AL,CHUCHR,341,0.0,5,7,34,17,0
Kenrick-Glennon Seminary,ACCRED,I,W,MO,RC,"10,280",36.0,5,10,86,78,"45,000"
The King's Seminary at The King's University,ACCRED,U,W,TX,INTER,"3,602",0.0,7,11,263,145,"10,395"
Knox College,ACCRED,I,A,ON,PCC,"5,612",51.7,8,11,99,40,"8,360"
Knox Theological Seminary,ACCRED,I,W,FL,NONDEN,"2,354",2.3,5,8,123,67,"10,800"
Lancaster Theological Seminary,ACCRED,I,W,PA,UCC,"4,223",16.4,3,6,61,42,"20,699"
Lexington Theological Seminary,ACCRED,I,W,KY,DISCPL,"3,335",49.4,4,9,86,29,"9,420"
Liberty Theological Seminary,ACCRED,U,W,VA,BAPT,"19,735",0.0,25,"1,007","5,507","4,050","5,799"
Lincoln Christian Seminary,ACCRED,C,N,IL,CCHCHC,"1,862",2.0,9,11,109,56,"9,280"
Logos Evangelical Seminary,ACCRED,I,A,CA,EVFORM,"5,237",10.3,12,14,188,109,"8,428"
"Logsdon Seminary of Logsdon School of Theology of Hardin-Simmons
University",ACCRED,U,n/a,TX,n/a,0,0,0,0,0,0,0
Louisville Presbyterian Theological Seminary,ACCRED,I,W,KY,PCUSA,"8,619",86.5,12,28,93,100,"4,420"
Loyola Marymount University Department of Theological Studies,ACCRED,U,W,CA,RC,"2,122",0.0,21,28,60,26,0
Loyola University Chicago Institute of Pastoral Studies,ACCRED,U,W,IL,RC,"2,727",3.6,9,13,190,93,"15,225"
Luther Seminary,ACCRED,I,W,MN,ELCA,"26,627",123.8,22,25,348,183,"19,343"
Lutheran School of Theology at Chicago,ACCRED,I,W,IL,ELCA,"11,013",48.5,10,12,131,58,"18,370"
Lutheran Theological Seminary (SK),ACCRED,I,A,SK,ELCC,828,7.5,2,2,21,14,"13,715"
Lutheran Theological Southern Seminary of Lenoir-Rhyne University,ACCRED,U,W,SC,ELCA,"4,011",37.8,6,6,54,41,"6,300"
M. Christopher White School of Divinity of Gardner-Webb University,ACCRED,C,W,NC,BAPTNC,"2,714",15.5,7,8,117,79,"14,800"
Martin Luther University College,ACCRED,U,N,ON,ELCC,"4,786",6.1,9,25,143,21,"10,057"
