Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,88,55,4,432,134,13,105,"3,981","1,660",63,105,"5,809"
,MA (prof),44,52,0,219,285,8,18,"1,809","2,030",11,18,"3,868"
,MA (acad),47,32,0,174,112,14,31,"1,621","1,026",33,31,"2,711"
,MA (both),6,7,0,39,79,2,34,397,403,5,34,839
,Subtotal MA,97,91,0,432,476,24,83,"3,827","3,459",49,83,"7,418"
,ThM/STM,4,3,1,50,23,4,1,388,106,9,1,504
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,21,16,0,141,53,1,15,"1,319",572,8,15,"1,914"
,Other Prof Dr,4,4,0,10,4,0,1,129,88,0,1,218
,"Subtotal DMin and
Other Prof Dr",25,20,0,151,57,1,16,"1,448",660,8,16,"2,132"
,PhD/ThD,6,8,0,67,18,1,0,470,157,4,0,631
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,14,12,0,185,155,3,22,941,798,5,22,"1,766"
Total,,234,189,5,"1,317",863,46,227,"11,055","6,840",138,227,"18,260"
