Table 2.5 Head Count Enrollment at Constant Set of Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
,Constant Set Enrollment,,,Total Enrollment,,,Constant Set Enrollment
Year,N,Head Count,% Chng,N,Head Count,% Chng,as % of Total Enrollment
2019,256,75236,,275,77043,,97.7%
2020,256,75901,0.9%,275,77591,0.7%,97.8%
2021,256,76580,0.9%,272,78021,0.6%,98.2%
2022,256,74865,-2.2%,280,77329,-0.9%,96.8%
2023,256,74295,-0.8%,274,76166,-1.5%,97.5%
United States,,,,,,,
,Constant Set Enrollment,,,Total Enrollment,,,Constant Set Enrollment
Year,N,Head Count,% Chng,N,Head Count,% Chng,as % of Total Enrollment
2019,221,70411,,236,71994,,97.8%
2020,221,70924,0.7%,237,72525,0.7%,97.8%
2021,221,71686,1.1%,235,73116,0.8%,98.0%
2022,221,70354,-1.9%,243,72786,-0.5%,96.7%
2023,221,69691,-0.9%,237,71500,-1.8%,97.5%
Canada,,,,,,,
,Constant Set Enrollment,,,Total Enrollment,,,Constant Set Enrollment
Year,N,Head Count,% Chng,N,Head Count,% Chng,as % of Total Enrollment
2019,35,4825,,39,5049,,95.6%
2020,35,4977,3.2%,38,5066,0.3%,98.2%
2021,35,4894,-1.7%,37,4905,-3.2%,99.8%
2022,35,4511,-7.8%,37,4543,-7.4%,99.3%
2023,35,4604,2.1%,37,4666,2.7%,98.7%
"Table 2.5 compares head count enrollment at a constant set of schools that were members of the Association for all five years and reported enrollment
for the same period.",,,,,,,
