col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Holy Cross Greek Orthodox School of Theology,ACCRED,C,W,MA,GRORTH,"14,952",32,6,11,82,76,"21,940"
Hood Theological Seminary,ACCRED,I,B,NC,AMEZ,"3,411",9,6,15,146,92,"20,350"
Horizon College and Seminary,ASSOC,C,n/a,SK,PENTAC,"2,006",0,4,6,31,17,0
Houston Graduate School of Theology,ACCRED,I,B,TX,INTER,790,0,3,6,65,53,"13,150"
Howard University School of Divinity,ACCRED,U,B,DC,NONDEN,"2,399",1,14,14,106,82,"20,780"
Huron University College Faculty of Theology,ACCRED,U,N,ON,ANGL,"1,996",0,7,13,46,28,"8,395"
Iliff School of Theology,ACCRED,I,W,CO,UMC,"7,967",43,15,16,180,111,"20,169"
Immaculate Conception Seminary,ACCRED,U,V,NJ,RC,"9,562",20,14,20,235,174,"22,630"
Institut de Formation Theologique de Montreal,n/a,I,n/a,n/a,n/a,-,-,-,-,-,-,-
Inter American University of Puerto Rico-Metropolitan Campus,ASSOC,I,n/a,PR,PCUSA,0,0,0,0,46,43,0
Inter-American Adventist Theological Seminary,ACCRED,I,M,PR,SDADV,692,0,10,10,511,72,0
Interdenominational Theological Center,ACCRED,I,B,GA,INTER,"9,788",6,16,16,193,101,"16,272"
International Reformed University and Seminary,ASSOC,U,n/a,CA,GENASWPC,532,0,0,4,51,32,"4,220"
International Theological Seminary,ACCRED,I,V,CA,NONDEN,"1,591",1,2,2,98,31,"10,500"
James and Carolyn McAfee School of Theology,ACCRED,U,W,GA,CBF,"2,396",23,9,11,135,81,"13,690"
Jesuit School of Theology,ACCRED,U,W,CA,RC,"6,606",54,10,14,112,100,"23,328"
John Leland Center for Theological Studies,ACCRED,I,B,VA,BGAV,"1,388",6,2,9,24,11,"9,900"
Kairos University,ACCRED,I,W,SD,NABAPC,"4,055",7,13,16,872,588,"3,600"
Kearley Graduate School of Theology,ACCRED,U,W,AL,CHUCHR,382,0,6,8,29,25,0
Kenrick-Glennon Seminary,ACCRED,I,W,MO,RC,"9,979",34,16,20,66,58,"43,500"
The King's Seminary,ACCRED,U,W,TX,INTER,"3,794",0,10,11,267,125,"14,820"
Knox College,ACCRED,I,A,ON,PCC,"4,796",25,8,11,105,61,"8,254"
Knox Theological Seminary,ACCRED,I,W,FL,NONDEN,"2,100",3,3,6,153,76,"10,350"
Lancaster Theological Seminary,ACCRED,I,W,PA,UCC,"3,956",15,6,13,73,48,"20,077"
Lexington Theological Seminary,ACCRED,I,W,KY,DISCPL,"3,382",47,3,8,88,43,"9,420"
Liberty University John W. Rawlings School of Divinity,ACCRED,U,W,VA,BAPT,"20,899",0,0,190,"5,451","3,549","5,998"
Lincoln Christian Seminary,ACCRED,C,N,IL,CCHCHC,"2,513",1,8,10,121,77,"8,992"
Logos Evangelical Seminary,ACCRED,I,A,CA,EVFORM,"4,692",12,11,13,211,96,"10,610"
Logsdon Seminary of Logsdon School of Theology,ACCRED,U,W,TX,BAPBGCT,464,1,2,2,19,10,"13,475"
Louisville Presbyterian Theological Seminary,ACCRED,I,W,KY,PCUSA,"9,436",92,14,16,99,63,"11,838"
Loyola Marymount University Department of Theological Studies,ACCRED,U,W,CA,RC,"2,054",0,27,34,59,51,0
Loyola University Chicago Institute of Pastoral Studies,ACCRED,U,W,IL,RC,"3,166",3,10,14,222,135,"14,490"
Luther Seminary,ACCRED,I,W,MN,ELCA,"27,010",123,24,28,411,304,"19,200"
Lutheran School of Theology at Chicago,ACCRED,I,W,IL,ELCA,"11,969",46,8,12,134,97,"18,360"
Lutheran Theological Seminary (SK),ACCRED,I,A,SK,ELCC,"1,366",8,2,2,13,6,"11,867"
