Degree Category,col_1,White,col_3,col_4,Multi-Racial,col_6,col_7,Not Reported,col_9,col_10,Total,col_12,col_13
,Degree Program,M,F,O,M,F,O,M,F,O,M,F,O
Master's Degree Programs,,,,,,,,,,,,,
MDiv,,"2,247",981,12,62,34,0,375,157,13,"4,023","1,922",26
MA (prof),,884,977,3,32,30,0,237,243,10,"1,887","1,835",14
MA (acad),,"1,101",586,5,76,38,0,182,110,2,"1,927","1,090",15
MA (both),,263,151,0,5,7,0,81,87,0,495,372,1
Subtotal MA,,"2,248","1,714",8,113,75,0,500,440,12,"4,309","3,297",30
ThM/MTh/STM,,213,47,0,11,1,0,47,11,1,457,109,2
Doctoral Degree Programs,,,,,,,,,,,,,
DMin,,537,140,0,21,10,0,111,49,1,"1,203",464,1
Other Prof Dr,,75,25,0,1,0,0,19,6,0,138,57,0
"Subtotal DMin and Other
Prof Dr",,612,165,0,22,10,0,130,55,1,"1,341",521,1
PhD/ThD,,188,55,0,9,3,0,17,9,0,342,115,0
Total,,"5,508","2,962",20,217,123,0,"1,069",672,27,"10,472","5,964",59
