col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Abilene Christian University Graduate School of Theology,ACCRED,U,N,TX,CHUCHR,"3,514",0,12,12,178,74,"17,544"
Academy for Jewish Religion,ACCRED,I,W,NY,JEWISH,"1,260",0,3,13,57,22,"34,856"
Acadia Divinity College,ACCRED,U,N,NS,CANBAPTATL,"2,783",19,9,12,180,72,"10,321"
Alliance Theological Seminary,ACCRED,C,H,NY,CMA,"5,089",1,8,17,570,260,"14,780"
Ambrose Seminary,ACCRED,C,W,AB,CMA,"1,631",1,12,13,100,84,"13,365"
America Evangelical University Graduate School of Theology,CAND,C,V,CA,KEHC,"1,323",0,4,16,90,82,"7,400"
Anabaptist Mennonite Biblical Seminary,ACCRED,I,W,IN,MBUS,"4,719",24,10,10,108,49,"16,500"
Anderson University School of Theology,ACCRED,C,N,IN,COGAND,645,8,4,5,54,35,"8,810"
Antiochian House of Studies,ASSOC,I,W,CA,AntOrthNA,186,0,3,9,200,192,"1,300"
Aquinas Institute of Theology,ACCRED,I,W,MO,RC,"2,524",0,9,13,101,64,"19,114"
Asbury Theological Seminary,ACCRED,I,W,KY,INTER,"37,103",205,43,65,"1,689","1,150","16,710"
Ashland Theological Seminary,ACCRED,U,W,OH,BRCHAO,"3,274",10,14,14,244,143,"17,010"
Assemblies of God Theological Seminary,ACCRED,U,W,MO,AOG,"2,223",1,7,14,228,149,"13,560"
Associated Canadian Theological Schools,ACCRED,C,W,BC,INTER,"3,953",0,12,17,373,176,"16,000"
Athenaeum of Ohio,ACCRED,I,W,OH,RC,"7,576",37,9,18,172,135,"21,840"
Atlantic School of Theology,ACCRED,I,N,NS,INTER,"2,907",7,9,11,90,43,"7,400"
Augustine Institute,ACCRED,I,N,CO,RC,"16,753",0,10,12,362,166,0
Austin Presbyterian Theological Seminary,ACCRED,I,W,TX,PCUSA,"11,286",181,16,20,198,115,"14,545"
Azusa Pacific Seminary,ACCRED,U,H,CA,WESLCH,"3,578",2,10,10,171,104,"14,160"
B. H. Carroll Theological Institute,ACCRED,I,M,TX,BAPT,"1,965",0,28,48,147,114,"5,980"
Baptist Missionary Association Theological Seminary,ACCRED,I,W,TX,BAPTMA,"1,505",2,7,8,53,30,"7,650"
Baptist Seminary of Kentucky,ACCRED,I,B,KY,CBF,"1,017",2,6,6,44,26,"5,625"
Barry University Department of Theology and Philosophy,ACCRED,U,H,FL,RC,"1,158",0,11,17,56,37,0
Beeson Divinity School,ACCRED,U,W,AL,INTER,"4,082",73,17,19,136,112,"16,642"
Berkeley Divinity School,ACCRED,U,W,CT,EPISC,0,0,0,0,0,0,0
Berkeley School of Theology (CA),ACCRED,I,M,CA,ABCUSA,"3,262",9,5,5,62,32,"17,220"
Bethany Theological Seminary,ACCRED,I,W,IN,CHBRETH,"3,472",61,8,8,75,46,"12,000"
Bethel Seminary,ACCRED,C,W,MN,BAPTCW,"6,721",19,7,23,394,108,"9,937"
"Bexley Hall Seabury-Western Theological Seminary Federation, Inc.",ACCRED,I,W,IL,EPISC,"2,790",27,4,7,89,42,"20,259"
Boston College School of Theology and Ministry,ACCRED,U,W,MA,RC,"16,536",86,26,31,265,226,"28,810"
Boston University School of Theology,ACCRED,U,W,MA,UMC,"16,942",119,33,38,342,286,"23,504"
Briercrest College and Seminary,ACCRED,C,W,SK,INTER,"2,025",1,6,8,113,97,"10,750"
Brite Divinity School,ACCRED,I,W,TX,DISCPL,"9,456",110,18,22,135,95,"29,220"
Byzantine Catholic Seminary of SS. Cyril and Methodius,ACCRED,I,W,PA,BYZANTIN,"1,013",0,4,7,37,20,"10,900"
Calvin Theological Seminary,ACCRED,I,W,MI,CRC,"10,545",57,15,19,247,193,"16,972"
