Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
MDiv,,68,37,0,348,142,0,55,"3,603","1,515",30,55,"5,203"
MA (prof),,36,57,4,242,274,1,13,"1,859","2,121",11,13,"4,004"
MA (acad),,74,43,0,263,148,1,6,"2,000","1,096",8,6,"3,110"
MA (both),,14,14,0,125,110,0,26,678,462,5,26,"1,171"
Subtotal MA,,124,114,4,630,532,2,45,"4,537","3,679",24,45,"8,285"
ThM/STM,,3,3,0,50,9,0,7,365,79,1,7,452
Doctoral Degree Programs,,,,,,,,,,,,,
DMin,,21,13,1,177,53,0,11,"1,448",532,4,11,"1,995"
Other Prof Dr,,3,1,0,21,20,0,1,143,90,0,1,234
"Subtotal DMin and Other
Prof Dr",,24,14,1,198,73,0,12,"1,591",622,4,12,"2,229"
PhD/ThD,,8,4,0,59,19,0,0,379,132,0,,511
Total,,227,172,5,"1,285",775,2,119,"10,475","6,027",59,119,"16,680"
