col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Holy Cross Greek Orthodox School of Theology,ACCRED,C,W,MA,GRORTH,16670,38.0,5,10,184,137,22490
Hood Theological Seminary,ACCRED,I,B,NC,AMEZ,3270,10.5,4,10,103,65,13350
Horizon College and Seminary,ASSOC,C,M,SK,PENTAC,1731,0.0,0,4,71,30,6468
Howard University School of Divinity,ACCRED,U,B,DC,NONDEN,2410,0.0,11,13,83,68,20222
Huron University College Faculty of Theology,ACCRED,U,N,ON,ANGL,1640,0.0,1,6,61,37,8853
Iliff School of Theology,ACCRED,I,W,CO,UMC,8346,41.1,16,16,163,122,20169
Immaculate Conception Seminary of Seton Hall University,ACCRED,U,V,NJ,RC,10540,22.1,13,18,243,182,25480
Indianapolis Theological Seminary,ASSOC,I,n/a,IN,NONDEN,923,0.0,1,9,59,27,0
"Inter American University of Puerto Rico-Metropolitan Campus Department of
Theology and History",ASSOC,I,H,PR,INTER,45103,0.0,2,9,53,8,0
Inter-American Adventist Theological Seminary,ACCRED,I,M,PR,SDADV,1321,0.5,0,5,567,590,0
Interdenominational Theological Center,ACCRED,I,B,GA,INTER,8341,6.5,7,7,60,48,16272
International Reformed University and Seminary,ASSOC,U,A,CA,GENASWPC,663,0.0,0,4,64,65,4220
International Theological Seminary,ACCRED,I,V,CA,NONDEN,1763,0.0,0,7,125,98,10550
James and Carolyn McAfee School of Theology of Mercer University,ACCRED,U,W,GA,CBF,2511,26.4,9,11,123,82,13950
Jesuit School of Theology of Santa Clara University,ACCRED,U,W,CA,RC,8174,55.2,0,3,115,107,25110
John Leland Center for Theological Studies,ACCRED,I,B,VA,BGAV,1243,5.7,2,8,30,11,13750
Kairos University,ACCRED,I,W,SD,NABAPC,8706,12.0,14,20,1157,724,3600
Kearley Graduate School of Theology of Faulkner University,ACCRED,U,W,AL,CHUCHR,346,0.0,5,8,33,13,0
Kenrick-Glennon Seminary,ACCRED,I,W,MO,RC,9987,38.9,5,9,84,65,45000
The King's Seminary at The King's University,ACCRED,U,W,TX,INTER,4622,0.0,9,12,240,124,10395
Knox College,ACCRED,I,A,ON,PCC,4740,54.4,7,9,92,79,8464
Knox Theological Seminary,ACCRED,I,W,FL,NONDEN,2272,1.8,4,8,141,86,10850
Lancaster Theological Seminary,ACCRED,I,W,PA,UCC,3912,0.0,1,4,66,42,20699
Lexington Theological Seminary,ACCRED,I,W,KY,DISCPL,3677,53.8,4,10,83,20,9420
Liberty Theological Seminary,ACCRED,U,W,VA,BAPT,21271,0.0,24,1509,6168,4568,5799
Life Pacific University Seminary,ASSOC,U,n/a,CA,FSQGCH,615,0.0,2,8,28,27,14425
Lincoln Seminary at Ozark Christian College,ACCRED,C,N,MO,CCHCHC,785,1.0,0,9,132,50,9990
Logos Evangelical Seminary,ACCRED,I,A,CA,EVFORM,5278,12.8,12,14,221,131,11020
Louisville Presbyterian Theological Seminary,ACCRED,I,W,KY,PCUSA,8705,87.5,13,16,102,79,4420
Loyola Marymount University Department of Theological Studies,ACCRED,U,W,CA,RC,2266,0.0,6,14,51,22,0
Loyola University Chicago Institute of Pastoral Studies,ACCRED,U,W,IL,RC,2995,3.8,9,15,212,106,15225
Luther Seminary,ACCRED,I,W,MN,ELCA,24515,136.0,21,24,371,189,19343
Lutheran School of Theology at Chicago,ACCRED,I,W,IL,ELCA,10203,49.9,9,12,121,81,18480
Lutheran Theological Seminary (SK),ACCRED,I,A,SK,ELCC,1194,8.1,2,2,17,8,11762
Lutheran Theological Southern Seminary of Lenoir-Rhyne University,ACCRED,U,W,NC,ELCA,3531,26.2,6,7,65,43,6300
