Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,116,68,2,646,217,14,230,"5,613","2,409",106,230,"8,358"
,MA (prof),59,90,0,311,344,2,103,"2,117","2,709",15,103,"4,944"
,MA (acad),63,46,1,392,249,20,107,"2,302","1,504",73,107,"3,986"
,MA (both),15,16,0,165,173,9,68,919,733,13,68,"1,733"
,Subtotal MA,137,152,1,868,766,31,278,"5,338","4,946",101,278,"10,663"
,ThM/STM,11,2,0,83,39,0,15,558,161,8,15,742
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,29,20,2,196,61,2,71,"1,845",853,10,71,"2,779"
,Other Prof Dr,3,4,0,19,22,0,1,152,178,0,1,331
,"Subtotal DMin and
Other Prof Dr",32,24,2,215,83,2,72,"1,997","1,031",10,72,"3,110"
,PhD/ThD,17,4,0,113,43,1,15,658,249,5,15,927
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,46,32,0,354,265,1,77,"1,886","1,329",9,77,"3,301"
Total,,359,282,5,"2,279","1,413",49,687,"16,050","10,125",239,687,"27,101"
