col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Duke University Divinity School,ACCRED,U,W,NC,UMC,"48,401",274.5,43,53,621,609,"30,600"
Earlham School of Religion,ACCRED,C,W,IN,FRNDS,"2,372",34.8,6,7,48,33,"47,210"
Eastern Mennonite Seminary of Eastern Mennonite University,ACCRED,C,W,VA,MBUS,"1,593",8.5,3,4,40,21,"15,520"
Ecumenical Theological Seminary,ACCRED,I,B,MI,INTER,"1,135",0.0,3,9,60,33,"19,773"
Eden Theological Seminary,ACCRED,I,B,MO,UCC,"5,485",25.8,5,7,88,46,"17,100"
Emmanuel Christian Seminary at Milligan,ACCRED,C,W,TN,CCHCHC,"2,985",14.4,9,12,107,64,"16,255"
Emmanuel College of Victoria University,ACCRED,U,W,ON,UCCAN,"5,906",25.0,14,18,227,168,"8,422"
Erskine Theological Seminary,ACCRED,C,W,SC,ARP,"1,284",0.0,5,9,118,40,"16,100"
Evangelia University Graduate School of Theology,ACCRED,U,A,CA,KPCAK,707,0.0,13,23,93,79,"6,020"
Franciscan School of Theology,ACCRED,I,N,CA,RC,"3,284",10.4,3,10,89,49,"21,060"
Freed-Hardeman University Graduate School of Theology,ACCRED,U,W,TN,CHUCHR,911,0.0,2,2,70,41,"57,855"
Fresno Pacific Biblical Seminary of Fresno Pacific University,ACCRED,U,H,CA,MBNA,"2,945",3.6,4,6,101,61,"9,435"
Fuller Theological Seminary,ACCRED,I,W,CA,INTER,"65,314",173.2,34,61,"1,620",713,"24,776"
Garrett-Evangelical Theological Seminary,ACCRED,I,M,IL,UMC,"20,124",125.8,25,25,313,183,"22,430"
Gateway Seminary,ACCRED,I,M,CA,SBC,"14,702",63.0,18,40,"1,464",742,"9,910"
General Theological Seminary,ACCRED,I,W,NY,EPISC,"8,195",35.5,4,4,45,32,"8,700"
George W. Truett Theological Seminary of Baylor University,ACCRED,U,W,TX,BAPBGCT,"11,061",114.9,26,28,388,249,"20,700"
Georgia Central University School of Divinity,ACCRED,U,N,GA,KAPC,"1,867",0.0,15,15,133,160,"11,450"
GETS Theological Seminary,ASSOC,I,A,CA,INTER,"1,371",0.0,7,7,85,45,0
Gordon-Conwell Theological Seminary,ACCRED,I,W,MA,INTER,"31,350",68.4,27,41,"1,358",725,"25,665"
Grace Mission University Graduate School,ACCRED,U,A,CA,PCINT,"1,570",0.0,0,1,282,227,"4,920"
Grace School of Theology,ACCRED,I,N,TX,INTER,"6,519",0.0,5,12,333,134,"7,720"
Grace Theological Seminary,ACCRED,C,N,IN,FEGRACE,"1,246",2.6,7,31,273,138,"11,750"
"Graduate School of Theology and Ministry in Puerto Rico, St. Albert the Great",ACCRED,U,H,PR,RC,134,0.0,0,5,19,15,"30,305"
Graduate Theological Union,ACCRED,I,W,CA,INTER,"11,895",49.7,10,13,160,239,0
Grand Canyon Theological Seminary at Grand Canyon University,ACCRED,U,W,AZ,INTER,905,0.0,9,53,436,380,"12,635"
Harding School of Theology,ACCRED,C,W,AR,CHUCHR,"1,992",18.0,5,7,142,54,"20,225"
Hartford International University for Religion and Peace,ACCRED,I,W,CT,INTER,"7,812",69.3,5,8,109,67,0
Harvard University Divinity School,ACCRED,U,W,MA,INTER,"53,989",832.8,30,42,328,440,"36,070"
Hazelip School of Theology of Lipscomb University,ACCRED,U,W,TN,CHUCHR,777,0.0,7,9,80,49,"9,720"
Henry Appenzeller University,ASSOC,I,A,CA,KMCA,175,0.0,0,3,16,14,"23,600"
Heritage Christian University Graduate School of Theology,ASSOC,U,W,AL,CHUCHR,"1,186",0.9,5,6,88,40,"5,965"
Heritage Theological Seminary,ACCRED,C,W,ON,FEVBAPT,"5,020",2.4,3,4,170,69,"11,700"
"HMS Richards Divinity School Division of Graduate Studies of La Sierra
University",ACCRED,U,W,CA,SDADV,783,0.0,8,8,22,18,"14,832"
Holy Apostles College and Seminary,ACCRED,C,N,CT,RC,"5,878",10.4,3,35,452,184,"18,188"
