"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2019",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Reformed Presbyterian,,13,,54,,4,,11,,21,,74,,28,
Religious Society of Friends,,5,,19,,3,,4,,7,,17,,12,
Roman Catholic,,94,,"2,599",,69,,"1,102",,118,,"3,099",,155,
Salvation Army,,12,,17,,10,,50,,16,,83,,26,
Seventh Day Baptist General Conference,,4,,4,,0,,0,,4,,6,,7,
Seventh-day Adventist,,32,,501,,18,,638,,41,,524,,66,
Southern Baptist Convention,,56,,"4,861",,47,,"1,722",,64,,"5,586",,84,
"Swedenborgian Church, General Convention",,1,,6,,1,,4,,4,,23,,4,
Unitarian Universalist,,30,,224,,12,,23,,28,,55,,42,
United Church of Canada,,13,,128,,4,,30,,16,,122,,23,
United Church of Christ,,56,,337,,13,,22,,47,,196,,66,
United Methodist Church,,92,,"2,150",,59,,365,,103,,"1,104",,134,
United Pentecostal Church International,,28,,116,,16,,61,,29,,141,,40,
Wesleyan Church,,31,,141,,21,,125,,31,,111,,46,
Wisconsin Evangelical Lutheran Synod,,2,,123,,1,,2,,3,,40,,5,
"Total 257 30,805 185 13,462 249 33,377 272",,,,,,,,,,,,,,,
